Property Name,Bind To Column,Property Class,Key Sequence,Read Only,Required,Default From,List Source,Description
planning_reviewer_empnum,planning_reviewer_empnum,EmpNum,,False,False,,"STDOLE SLEmployees( PROPERTIES(EmpNum,Name,Username) DISPLAY(1,2,3) RECORDCAP(0))",
planning_reviewer_name,planning_reviewer_name,EmpName,,True,False,,,"Read-only display, auto-populated when planning_reviewer_empnum is selected."
planning_complete,planning_complete,ListYesNo,,False,False,,,
purchasing_reviewer_empnum,purchasing_reviewer_empnum,EmpNum,,False,False,,"STDOLE SLEmployees( PROPERTIES(EmpNum,Name,Username) DISPLAY(1,2,3) RECORDCAP(0))",
purchasing_reviewer_name,purchasing_reviewer_name,EmpName,,True,False,,,"Read-only display, auto-populated when purchasing_reviewer_empnum is selected."
purchasing_complete,purchasing_complete,ListYesNo,,False,False,,,
cm_reviewer_empnum,cm_reviewer_empnum,EmpNum,,False,False,,"STDOLE SLEmployees( PROPERTIES(EmpNum,Name,Username) DISPLAY(1,2,3) RECORDCAP(0))",
cm_reviewer_name,cm_reviewer_name,EmpName,,True,False,,,"Read-only display, auto-populated when cm_reviewer_empnum is selected."
cm_complete,cm_complete,ListYesNo,,False,False,,,
due_date,due_date,Date,,False,False,,,
internal_review_date,internal_review_date,Date,,False,False,,,
close_date,close_date,Date,,True,False,,,"Auto-set by the Closed workflow, not user-typed."
closed_by,closed_by,UserName,,True,False,,,"Auto-set by the Closed workflow, not user-typed."
general_close_date,general_close_date,Date,,False,False,,,Purpose unclear vs. close_date - confirm before relying on it.
general_closed_by,general_closed_by,UserName,,False,False,,,Same caveat as general_close_date.
qc_rca_notes,qc_rca_notes,,,False,False,,,"Root cause analysis notes, QC."
eng_rca_notes,eng_rca_notes,,,False,False,,,"Root cause analysis notes, Engineering."
closed,closed,ListYesNo,,False,False,,,Enable gated by all req_*/*_review_complete pairs matching - see cew_Closed in the form.
